,patient.1,patient.2,patient.3
signature.1,0.5,0.2,0.4
signature.2,0,0,0
signature.3,0,0,0
signature.4,0,0,0
signature.5,0.5,0.8,0.2
signature.6,0,0,0
signature.7,0,0,0
signature.8,0,0,0
signature.9,0,0,0
signature.10,0,0,0
signature.11,0,0,0
signature.12,0,0,0
signature.13,0,0,0.4
signature.14,0,0,0
signature.15,0,0,0
signature.16,0,0,0
signature.17,0,0,0
signature.18,0,0,0
signature.19,0,0,0
signature.20,0,0,0
signature.21,0,0,0
signature.22,0,0,0
signature.23,0,0,0
signature.24,0,0,0
signature.25,0,0,0
signature.26,0,0,0
signature.27,0,0,0
signature.28,0,0,0
signature.29,0,0,0
signature.30,0,0,0